Latitude,longitude,tree_dbh,status,health,spc_common,boroname
40.77004563,-73.98494997,11,Alive,Good,honeylocust,Manhattan
40.77020969,-73.98533807,11,Alive,Good,honeylocust,Manhattan
40.76272385,-73.98729652,9,Alive,Good,American linden,Manhattan
40.77217148,-73.96045571,14,Alive,Good,honeylocust,Manhattan
40.7820872,-73.98096428,4,Alive,Fair,willow oak,Manhattan
40.72180744,-73.98982976,9,Alive,Good,honeylocust,Manhattan
40.77039613,-73.9816267,7,Alive,Good,honeylocust,Manhattan
40.77022715,-73.98121826,5,Alive,Good,honeylocust,Manhattan
40.77008698,-73.98504779,12,Alive,Good,honeylocust,Manhattan
40.77018061,-73.98526929,13,Alive,Good,honeylocust,Manhattan
40.78258674,-73.97484011,20,Alive,Good,London planetree,Manhattan
40.7337165,-73.97705764,12,Alive,Fair,London planetree,Manhattan
40.72663958,-73.99936836,6,Alive,Good,willow oak,Manhattan
40.7821811,-73.97238977,13,Alive,Fair,London planetree,Manhattan
40.78993607,-73.97721169,8,Alive,Good,pin oak,Manhattan
40.74503399,-73.98253015,8,Alive,Fair,pin oak,Manhattan
40.73599985,-73.99985935,5,Alive,Good,pin oak,Manhattan
40.80230109,-73.9620798,18,Alive,Good,pin oak,Manhattan
40.71680539,-73.99157275,13,Alive,Good,London planetree,Manhattan
40.77222448,-73.95894426,13,Alive,Fair,London planetree,Manhattan
40.77013009,-73.9829175,2,Alive,Good,American elm,Manhattan
40.7816172,-73.97558535,4,Alive,Good,London planetree,Manhattan
40.78233867,-73.97276286,2,Alive,Good,London planetree,Manhattan
40.7825057,-73.97308773,29,Alive,Fair,American elm,Manhattan
40.71688341,-73.99153287,12,Alive,Good,London planetree,Manhattan
40.80881155,-73.96331506,9,Alive,Good,London planetree,Manhattan
40.78283422,-73.97469909,5,Alive,Fair,London planetree,Manhattan
40.71669718,-73.99162805,13,Alive,Good,London planetree,Manhattan
40.76312607,-73.98935258,14,Alive,Good,ash,Manhattan
