curb_loc,tree_dbh,status,health,spc_common
OnCurb,11,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,9,Alive,Good,American linden
OnCurb,14,Alive,Good,honeylocust
OnCurb,4,Alive,Fair,willow oak
OnCurb,9,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OffsetFromCurb,20,Alive,Good,London planetree
OnCurb,12,Alive,Fair,London planetree
OnCurb,6,Alive,Good,willow oak
OffsetFromCurb,13,Alive,Fair,London planetree
OnCurb,8,Alive,Good,pin oak
OnCurb,8,Alive,Fair,pin oak
OnCurb,5,Alive,Good,pin oak
OnCurb,18,Alive,Good,pin oak
OnCurb,13,Alive,Good,London planetree
OnCurb,13,Alive,Fair,London planetree
OnCurb,2,Alive,Good,American elm
OnCurb,4,Alive,Good,London planetree
OffsetFromCurb,2,Alive,Good,London planetree
OnCurb,29,Alive,Fair,American elm
OnCurb,12,Alive,Good,London planetree
OnCurb,9,Alive,Good,London planetree
OnCurb,5,Alive,Fair,London planetree
OnCurb,13,Alive,Good,London planetree
OnCurb,14,Alive,Good,ash
OffsetFromCurb,3,Alive,Good,London planetree
OnCurb,5,Alive,Good,willow oak
OnCurb,5,Alive,Fair,American elm
OnCurb,7,Alive,Good,pin oak
OnCurb,1,Alive,Good,red maple
OnCurb,5,Alive,Good,pin oak
OnCurb,4,Alive,Good,ginkgo
OnCurb,7,Alive,Good,honeylocust
OffsetFromCurb,13,Alive,Good,pin oak
OnCurb,21,Alive,Good,pin oak
OnCurb,14,Alive,Good,honeylocust
OnCurb,15,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,honeylocust
OnCurb,7,Alive,Fair,ginkgo
OnCurb,7,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,14,Alive,Good,honeylocust
OnCurb,4,Alive,Good,crab apple
OnCurb,13,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,4,Alive,Good,crab apple
OnCurb,14,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,3,Alive,Good,ginkgo
OnCurb,17,Alive,Good,ginkgo
OnCurb,14,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,4,Alive,Good,ginkgo
